@relation isTarget
@attribute article string
@attribute class {positive, negative}
@data
'pure io le cerco le mie ed ogni giorno sta caccia al tesoro diventa pi difficile ',negative
' ghjjzkzk no ',negative
'domani sera con il corpo al magazzino sul po e con i sentimenti altrove perch siamo troppo emotivi emozioni ',negative
'ma la mia paura che magari nessuno la legge o che la prendono in carico ',negative
' costa rica bauti carolina wachiun wachiun plaza fresco tus abrazos',negative
'im crying la prof stata dolcissima ',negative
'ah nooo perdi ',negative
' sorna ',negative
'vi ricordate quando dicevo che gli account di twitter con l uovo nell icon mi inquietavano ecco adesso mi mancano ',negative
'ma se muoio tu poi come fai a farti i cazzi miei ',negative
'anna se ha ido ',negative
'noooooo volevo vederlo ',negative
'manco per le piste leggendarie come p c n si trovano auto ',negative
'perch non ti piace gerarda anche io ti amo cuoreee',negative
'hahahhhahahaahhaahahhaahhhhhahhaahhaah i miss talking to you directly ',negative
'purtroppo l ho trovato proprio evidente non ne capisco il motivo una volta disse che vi ricorre ',negative
'sono disperatonon mi pae piu il macho paura ',negative
'eh si sono belle costose ',negative
'non lo farei mai ',negative
' unanime ',negative
'miane miane hajima ',negative
'scusa se ti consola sono nella stessa situazione',negative
'sponti ahhahahahah',negative
'puntuale come ogni estate la triste piaga dei bambini dimenticati in auto ',negative
'domenica prossima ci sono gli idays ',negative
'hahahaha que tiempos ',negative
'prefersico non averlo saputo ',negative
'ti mordo anche ',negative
'anch io voglio la versione fisica del disco di harryse la nonna mi da i soldi della promozione dai su speriamo ',negative
'ma io la so ma non vivr cient ann perch mi fanno arrabbiare capit ',negative
'fatemela qualche domanda suuuu ',negative
'the ultimate dilemma ',negative
'solo uno ',negative
' sto lavorando ',negative
'ma io sono il primo a volere la sua felicit ',negative
'non riesco a capire cosa sia successo a nole non ha piu voglia piu stimoli cosa c ha si pu sapere',negative
'no more ruf ',negative
'mi piaciuto un video di gli angeli non mi vogliono in paradiso minecraft ita dyes',negative
'eu sentei no meio da sala n tjnha como ajsjsjjsjs',negative
'ahaksj don t be emo ',negative
'aa me duele la panza ',negative
'bar eedc e da ebce',negative
'pistocchi mi ha bloccato e non posso seguire bene ',negative
'povera mammina ',negative
'allora chiedo scusa ',negative
'ecco altro che tutte le cattiverie che la gente diceva su di loro ieri sono contenta aaah mi mancher tutto ',negative
' perch il mio cuore non abituato e dall emozione ha fatto crack ',negative
'l albero enorme in giardino alle scuole elementari da salirci alla ricreazione credo che sia da allora ',negative
'simo ma anch io tifo juve ',negative
'sorna ',negative
' perch il cuoricino spezzato ',negative
'to indi ',negative
'sanca unnie ',negative
'mi dispiace ',negative
'anche clara fa l universit a torino purtroppo no magariiiii ',negative
'gobbo finch campo non mi followa pi quotidianamente ',negative
' le ho rese felici ieri per i prossimi due mesi direi che bastato hyung ',negative
'che difficile scegliere la copertina della tesina ',negative
' tanto la possibilit di fargliele di persona sfumata per la mia bimba ',negative
'si dale ',negative
'opo smartphone ',negative
' shi povero oppa ',negative
'bar dfd ec e ada ade',negative
'che poi io anni fa ho avuto i capelli viola ma tipo per tre giorni perch al primo lavaggio sono tornati rossi ',negative
'la me travel docs hahahaha ',negative
'una kana labrador si girata a fissarmi allora le ho detto ciao con la vocetta e il padrone cattivo l ha tirata via ',negative
'se riesco a prendere la macchina vengo al volo ',negative
'la ma fi ',negative
'solo mi gata ',negative
'me duele mi pancita ',negative
' saltati ',negative
'di na virgin si sky ',negative
'non so pi cosa guardare mi annoia tutto ',negative
'dai bello ',negative
'avi ure so cute ',negative
'mikko o pison pota i cant ',negative
'aaaa che patatino ',negative
'none ',negative
'oddio grazie fur e anon per la domanda anche a me n eh cio la canzone ci sta la cosa in generale ci ',negative
'misfits era bello cos anche finito a quel modo basta reboot ',negative
' ditto ',negative
'versace mahal masa di taro di lantai ',negative
'nou non fai schifo e scommetto che non vero tu faccia schifo a disegnare',negative
'ocupo una botella de agua chiva ',negative
' si erin ji hahahahaahahaha',negative
'fds shippo tanto o caleb e a hannah ',negative
'mano ',negative
'il contenuto non pu essere riprodotto ',negative
'scusa ',negative
'asco valeeeee aborta',negative
' infatti ',negative
'ma la cosa dei bangtan la sapevo su schiele che cade la mia ignoranza ovviamente definisci t ',negative
'che peccato ',negative
' non colpa mia se sono geloso di un semino',negative
'se non cominci con le cose orrende su carta non riuscirai mai a fare cose migliori l esercisio porta al miglioramento',negative
'puoi smettere di fingere ',negative
'la nostra bambina o ',negative
'callate vale ',negative
' lui comunque ',negative
'nessuno mi vuole bene ',negative
'pure io le cerco le mie ed ogni giorno sta caccia al tesoro diventa pi difficile ',negative
' ghjjzkzk no ',negative
'domani sera con il corpo al magazzino sul po e con i sentimenti altrove perch siamo troppo emotivi emozioni ',negative
'ma la mia paura che magari nessuno la legge o che la prendono in carico ',negative
' costa rica bauti carolina wachiun wachiun plaza fresco tus abrazos',negative
'im crying la prof stata dolcissima ',negative
'ah nooo perdi ',negative
' sorna ',negative
'vi ricordate quando dicevo che gli account di twitter con l uovo nell icon mi inquietavano ecco adesso mi mancano ',negative
'ma se muoio tu poi come fai a farti i cazzi miei ',negative
'anna se ha ido ',negative
'noooooo volevo vederlo ',negative
'manco per le piste leggendarie come p c n si trovano auto ',negative
'perch non ti piace gerarda anche io ti amo cuoreee',negative
'hahahhhahahaahhaahahhaahhhhhahhaahhaah i miss talking to you directly ',negative
'purtroppo l ho trovato proprio evidente non ne capisco il motivo una volta disse che vi ricorre ',negative
'sono disperatonon mi pae piu il macho paura ',negative
'eh si sono belle costose ',negative
'non lo farei mai ',negative
' unanime ',negative
'miane miane hajima ',negative
'scusa se ti consola sono nella stessa situazione',negative
'sponti ahhahahahah',negative
'puntuale come ogni estate la triste piaga dei bambini dimenticati in auto ',negative
'domenica prossima ci sono gli idays ',negative
'hahahaha que tiempos ',negative
'prefersico non averlo saputo ',negative
'ti mordo anche ',negative
'anch io voglio la versione fisica del disco di harryse la nonna mi da i soldi della promozione dai su speriamo ',negative
'ma io la so ma non vivr cient ann perch mi fanno arrabbiare capit ',negative
'fatemela qualche domanda suuuu ',negative
'the ultimate dilemma ',negative
'solo uno ',negative
' sto lavorando ',negative
'ma io sono il primo a volere la sua felicit ',negative
'non riesco a capire cosa sia successo a nole non ha piu voglia piu stimoli cosa c ha si pu sapere',negative
'no more ruf ',negative
'mi piaciuto un video di gli angeli non mi vogliono in paradiso minecraft ita dyes',negative
'eu sentei no meio da sala n tjnha como ajsjsjjsjs',negative
'ahaksj don t be emo ',negative
'aa me duele la panza ',negative
'bar eedc e da ebce',negative
'pistocchi mi ha bloccato e non posso seguire bene ',negative
'povera mammina ',negative
'allora chiedo scusa ',negative
'ecco altro che tutte le cattiverie che la gente diceva su di loro ieri sono contenta aaah mi mancher tutto ',negative
' perch il mio cuore non abituato e dall emozione ha fatto crack ',negative
'l albero enorme in giardino alle scuole elementari da salirci alla ricreazione credo che sia da allora ',negative
'simo ma anch io tifo juve ',negative
'sorna ',negative
' perch il cuoricino spezzato ',negative
'to indi ',negative
'sanca unnie ',negative
'mi dispiace ',negative
'anche clara fa l universit a torino purtroppo no magariiiii ',negative
'gobbo finch campo non mi followa pi quotidianamente ',negative
' le ho rese felici ieri per i prossimi due mesi direi che bastato hyung ',negative
'che difficile scegliere la copertina della tesina ',negative
' tanto la possibilit di fargliele di persona sfumata per la mia bimba ',negative
'si dale ',negative
'opo smartphone ',negative
' shi povero oppa ',negative
'bar dfd ec e ada ade',negative
'che poi io anni fa ho avuto i capelli viola ma tipo per tre giorni perch al primo lavaggio sono tornati rossi ',negative
'la me travel docs hahahaha ',negative
'una kana labrador si girata a fissarmi allora le ho detto ciao con la vocetta e il padrone cattivo l ha tirata via ',negative
'se riesco a prendere la macchina vengo al volo ',negative
'la ma fi ',negative
'solo mi gata ',negative
'me duele mi pancita ',negative
' saltati ',negative
'di na virgin si sky ',negative
'non so pi cosa guardare mi annoia tutto ',negative
'dai bello ',negative
'avi ure so cute ',negative
'mikko o pison pota i cant ',negative
'aaaa che patatino ',negative
'none ',negative
'oddio grazie fur e anon per la domanda anche a me n eh cio la canzone ci sta la cosa in generale ci ',negative
'misfits era bello cos anche finito a quel modo basta reboot ',negative
' ditto ',negative
'versace mahal masa di taro di lantai ',negative
'nou non fai schifo e scommetto che non vero tu faccia schifo a disegnare',negative
'ocupo una botella de agua chiva ',negative
' si erin ji hahahahaahahaha',negative
'fds shippo tanto o caleb e a hannah ',negative
'mano ',negative
'il contenuto non pu essere riprodotto ',negative
'scusa ',negative
'asco valeeeee aborta',negative
' infatti ',negative
'ma la cosa dei bangtan la sapevo su schiele che cade la mia ignoranza ovviamente definisci t ',negative
'che peccato ',negative
' non colpa mia se sono geloso di un semino',negative
'se non cominci con le cose orrende su carta non riuscirai mai a fare cose migliori l esercisio porta al miglioramento',negative
'puoi smettere di fingere ',negative
'la nostra bambina o ',negative
'callate vale ',negative
' lui comunque ',negative
'nessuno mi vuole bene ',negative
'pure io le cerco le mie ed ogni giorno sta caccia al tesoro diventa pi difficile ',negative
' ghjjzkzk no ',negative
'domani sera con il corpo al magazzino sul po e con i sentimenti altrove perch siamo troppo emotivi emozioni ',negative
'ma la mia paura che magari nessuno la legge o che la prendono in carico ',negative
' costa rica bauti carolina wachiun wachiun plaza fresco tus abrazos',negative
'im crying la prof stata dolcissima ',negative
'ah nooo perdi ',negative
' sorna ',negative
'vi ricordate quando dicevo che gli account di twitter con l uovo nell icon mi inquietavano ecco adesso mi mancano ',negative
'ma se muoio tu poi come fai a farti i cazzi miei ',negative
'anna se ha ido ',negative
'noooooo volevo vederlo ',negative
'manco per le piste leggendarie come p c n si trovano auto ',negative
'perch non ti piace gerarda anche io ti amo cuoreee',negative
'hahahhhahahaahhaahahhaahhhhhahhaahhaah i miss talking to you directly ',negative
'purtroppo l ho trovato proprio evidente non ne capisco il motivo una volta disse che vi ricorre ',negative
'sono disperatonon mi pae piu il macho paura ',negative
'eh si sono belle costose ',negative
'non lo farei mai ',negative
' unanime ',negative
'miane miane hajima ',negative
'scusa se ti consola sono nella stessa situazione',negative
'sponti ahhahahahah',negative
'puntuale come ogni estate la triste piaga dei bambini dimenticati in auto ',negative
'domenica prossima ci sono gli idays ',negative
'hahahaha que tiempos ',negative
'prefersico non averlo saputo ',negative
'ti mordo anche ',negative
'anch io voglio la versione fisica del disco di harryse la nonna mi da i soldi della promozione dai su speriamo ',negative
'ma io la so ma non vivr cient ann perch mi fanno arrabbiare capit ',negative
'fatemela qualche domanda suuuu ',negative
'the ultimate dilemma ',negative
'solo uno ',negative
' sto lavorando ',negative
'ma io sono il primo a volere la sua felicit ',negative
'non riesco a capire cosa sia successo a nole non ha piu voglia piu stimoli cosa c ha si pu sapere',negative
'no more ruf ',negative
'mi piaciuto un video di gli angeli non mi vogliono in paradiso minecraft ita dyes',negative
'eu sentei no meio da sala n tjnha como ajsjsjjsjs',negative
'ahaksj don t be emo ',negative
'aa me duele la panza ',negative
'bar eedc e da ebce',negative
'pistocchi mi ha bloccato e non posso seguire bene ',negative
'povera mammina ',negative
'allora chiedo scusa ',negative
'ecco altro che tutte le cattiverie che la gente diceva su di loro ieri sono contenta aaah mi mancher tutto ',negative
' perch il mio cuore non abituato e dall emozione ha fatto crack ',negative
'l albero enorme in giardino alle scuole elementari da salirci alla ricreazione credo che sia da allora ',negative
'simo ma anch io tifo juve ',negative
'sorna ',negative
' perch il cuoricino spezzato ',negative
'to indi ',negative
'sanca unnie ',negative
'mi dispiace ',negative
'anche clara fa l universit a torino purtroppo no magariiiii ',negative
'gobbo finch campo non mi followa pi quotidianamente ',negative
' le ho rese felici ieri per i prossimi due mesi direi che bastato hyung ',negative
'che difficile scegliere la copertina della tesina ',negative
' tanto la possibilit di fargliele di persona sfumata per la mia bimba ',negative
'si dale ',negative
'opo smartphone ',negative
' shi povero oppa ',negative
'bar dfd ec e ada ade',negative
'che poi io anni fa ho avuto i capelli viola ma tipo per tre giorni perch al primo lavaggio sono tornati rossi ',negative
'la me travel docs hahahaha ',negative
'una kana labrador si girata a fissarmi allora le ho detto ciao con la vocetta e il padrone cattivo l ha tirata via ',negative
'se riesco a prendere la macchina vengo al volo ',negative
'la ma fi ',negative
'solo mi gata ',negative
'me duele mi pancita ',negative
' saltati ',negative
'di na virgin si sky ',negative
'non so pi cosa guardare mi annoia tutto ',negative
'dai bello ',negative
'avi ure so cute ',negative
'mikko o pison pota i cant ',negative
'aaaa che patatino ',negative
'none ',negative
'oddio grazie fur e anon per la domanda anche a me n eh cio la canzone ci sta la cosa in generale ci ',negative
'misfits era bello cos anche finito a quel modo basta reboot ',negative
' ditto ',negative
'versace mahal masa di taro di lantai ',negative
'nou non fai schifo e scommetto che non vero tu faccia schifo a disegnare',negative
'ocupo una botella de agua chiva ',negative
' si erin ji hahahahaahahaha',negative
'fds shippo tanto o caleb e a hannah ',negative
'mano ',negative
'il contenuto non pu essere riprodotto ',negative
'scusa ',negative
'asco valeeeee aborta',negative
' infatti ',negative
'ma la cosa dei bangtan la sapevo su schiele che cade la mia ignoranza ovviamente definisci t ',negative
'che peccato ',negative
' non colpa mia se sono geloso di un semino',negative
'se non cominci con le cose orrende su carta non riuscirai mai a fare cose migliori l esercisio porta al miglioramento',negative
'puoi smettere di fingere ',negative
'la nostra bambina o ',negative
'callate vale ',negative
' lui comunque ',negative
'nessuno mi vuole bene ',negative
'pure io le cerco le mie ed ogni giorno sta caccia al tesoro diventa pi difficile ',negative
' ghjjzkzk no ',negative
'domani sera con il corpo al magazzino sul po e con i sentimenti altrove perch siamo troppo emotivi emozioni ',negative
'ma la mia paura che magari nessuno la legge o che la prendono in carico ',negative
' costa rica bauti carolina wachiun wachiun plaza fresco tus abrazos',negative
'im crying la prof stata dolcissima ',negative
'ah nooo perdi ',negative
' sorna ',negative
'vi ricordate quando dicevo che gli account di twitter con l uovo nell icon mi inquietavano ecco adesso mi mancano ',negative
'ma se muoio tu poi come fai a farti i cazzi miei ',negative
'anna se ha ido ',negative
'noooooo volevo vederlo ',negative
'manco per le piste leggendarie come p c n si trovano auto ',negative
'perch non ti piace gerarda anche io ti amo cuoreee',negative
'hahahhhahahaahhaahahhaahhhhhahhaahhaah i miss talking to you directly ',negative
'purtroppo l ho trovato proprio evidente non ne capisco il motivo una volta disse che vi ricorre ',negative
'sono disperatonon mi pae piu il macho paura ',negative
'eh si sono belle costose ',negative
'non lo farei mai ',negative
' unanime ',negative
'miane miane hajima ',negative
'scusa se ti consola sono nella stessa situazione',negative
'sponti ahhahahahah',negative
'puntuale come ogni estate la triste piaga dei bambini dimenticati in auto ',negative
'domenica prossima ci sono gli idays ',negative
'hahahaha que tiempos ',negative
'prefersico non averlo saputo ',negative
'ti mordo anche ',negative
'anch io voglio la versione fisica del disco di harryse la nonna mi da i soldi della promozione dai su speriamo ',negative
'ma io la so ma non vivr cient ann perch mi fanno arrabbiare capit ',negative
'fatemela qualche domanda suuuu ',negative
'the ultimate dilemma ',negative
'solo uno ',negative
' sto lavorando ',negative
'ma io sono il primo a volere la sua felicit ',negative
'non riesco a capire cosa sia successo a nole non ha piu voglia piu stimoli cosa c ha si pu sapere',negative
'no more ruf ',negative
'mi piaciuto un video di gli angeli non mi vogliono in paradiso minecraft ita dyes',negative
'eu sentei no meio da sala n tjnha como ajsjsjjsjs',negative
'ahaksj don t be emo ',negative
'aa me duele la panza ',negative
'bar eedc e da ebce',negative
'pistocchi mi ha bloccato e non posso seguire bene ',negative
'povera mammina ',negative
'allora chiedo scusa ',negative
'ecco altro che tutte le cattiverie che la gente diceva su di loro ieri sono contenta aaah mi mancher tutto ',negative
' perch il mio cuore non abituato e dall emozione ha fatto crack ',negative
'l albero enorme in giardino alle scuole elementari da salirci alla ricreazione credo che sia da allora ',negative
'simo ma anch io tifo juve ',negative
'sorna ',negative
' perch il cuoricino spezzato ',negative
'to indi ',negative
'sanca unnie ',negative
'mi dispiace ',negative
'anche clara fa l universit a torino purtroppo no magariiiii ',negative
'gobbo finch campo non mi followa pi quotidianamente ',negative
' le ho rese felici ieri per i prossimi due mesi direi che bastato hyung ',negative
'che difficile scegliere la copertina della tesina ',negative
' tanto la possibilit di fargliele di persona sfumata per la mia bimba ',negative
'si dale ',negative
'opo smartphone ',negative
' shi povero oppa ',negative
'bar dfd ec e ada ade',negative
'che poi io anni fa ho avuto i capelli viola ma tipo per tre giorni perch al primo lavaggio sono tornati rossi ',negative
'la me travel docs hahahaha ',negative
'una kana labrador si girata a fissarmi allora le ho detto ciao con la vocetta e il padrone cattivo l ha tirata via ',negative
'se riesco a prendere la macchina vengo al volo ',negative
'la ma fi ',negative
'solo mi gata ',negative
'me duele mi pancita ',negative
' saltati ',negative
'di na virgin si sky ',negative
'non so pi cosa guardare mi annoia tutto ',negative
'dai bello ',negative
'avi ure so cute ',negative
'mikko o pison pota i cant ',negative
'aaaa che patatino ',negative
'none ',negative
'oddio grazie fur e anon per la domanda anche a me n eh cio la canzone ci sta la cosa in generale ci ',negative
'misfits era bello cos anche finito a quel modo basta reboot ',negative
' ditto ',negative
'versace mahal masa di taro di lantai ',negative
'nou non fai schifo e scommetto che non vero tu faccia schifo a disegnare',negative
'ocupo una botella de agua chiva ',negative
' si erin ji hahahahaahahaha',negative
'fds shippo tanto o caleb e a hannah ',negative
'mano ',negative
'il contenuto non pu essere riprodotto ',negative
'scusa ',negative
'asco valeeeee aborta',negative
' infatti ',negative
'ma la cosa dei bangtan la sapevo su schiele che cade la mia ignoranza ovviamente definisci t ',negative
'che peccato ',negative
' non colpa mia se sono geloso di un semino',negative
'se non cominci con le cose orrende su carta non riuscirai mai a fare cose migliori l esercisio porta al miglioramento',negative
'puoi smettere di fingere ',negative
'la nostra bambina o ',negative
'callate vale ',negative
' lui comunque ',negative
'nessuno mi vuole bene ',negative
'pure io le cerco le mie ed ogni giorno sta caccia al tesoro diventa pi difficile ',negative
' ghjjzkzk no ',negative
'domani sera con il corpo al magazzino sul po e con i sentimenti altrove perch siamo troppo emotivi emozioni ',negative
'ma la mia paura che magari nessuno la legge o che la prendono in carico ',negative
' costa rica bauti carolina wachiun wachiun plaza fresco tus abrazos',negative
'im crying la prof stata dolcissima ',negative
'ah nooo perdi ',negative
' sorna ',negative
'vi ricordate quando dicevo che gli account di twitter con l uovo nell icon mi inquietavano ecco adesso mi mancano ',negative
'ma se muoio tu poi come fai a farti i cazzi miei ',negative
'anna se ha ido ',negative
'noooooo volevo vederlo ',negative
'manco per le piste leggendarie come p c n si trovano auto ',negative
'perch non ti piace gerarda anche io ti amo cuoreee',negative
'hahahhhahahaahhaahahhaahhhhhahhaahhaah i miss talking to you directly ',negative
'purtroppo l ho trovato proprio evidente non ne capisco il motivo una volta disse che vi ricorre ',negative
'sono disperatonon mi pae piu il macho paura ',negative
'eh si sono belle costose ',negative
'non lo farei mai ',negative
' unanime ',negative
'miane miane hajima ',negative
'scusa se ti consola sono nella stessa situazione',negative
'sponti ahhahahahah',negative
'puntuale come ogni estate la triste piaga dei bambini dimenticati in auto ',negative
'domenica prossima ci sono gli idays ',negative
'hahahaha que tiempos ',negative
'prefersico non averlo saputo ',negative
'ti mordo anche ',negative
'anch io voglio la versione fisica del disco di harryse la nonna mi da i soldi della promozione dai su speriamo ',negative
'ma io la so ma non vivr cient ann perch mi fanno arrabbiare capit ',negative
'fatemela qualche domanda suuuu ',negative
'the ultimate dilemma ',negative
'solo uno ',negative
' sto lavorando ',negative
'ma io sono il primo a volere la sua felicit ',negative
'non riesco a capire cosa sia successo a nole non ha piu voglia piu stimoli cosa c ha si pu sapere',negative
'no more ruf ',negative
'mi piaciuto un video di gli angeli non mi vogliono in paradiso minecraft ita dyes',negative
'eu sentei no meio da sala n tjnha como ajsjsjjsjs',negative
'ahaksj don t be emo ',negative
'aa me duele la panza ',negative
'bar eedc e da ebce',negative
'pistocchi mi ha bloccato e non posso seguire bene ',negative
'povera mammina ',negative
'allora chiedo scusa ',negative
'ecco altro che tutte le cattiverie che la gente diceva su di loro ieri sono contenta aaah mi mancher tutto ',negative
' perch il mio cuore non abituato e dall emozione ha fatto crack ',negative
'l albero enorme in giardino alle scuole elementari da salirci alla ricreazione credo che sia da allora ',negative
'simo ma anch io tifo juve ',negative
'sorna ',negative
' perch il cuoricino spezzato ',negative
'to indi ',negative
'sanca unnie ',negative
'mi dispiace ',negative
'anche clara fa l universit a torino purtroppo no magariiiii ',negative
'gobbo finch campo non mi followa pi quotidianamente ',negative
' le ho rese felici ieri per i prossimi due mesi direi che bastato hyung ',negative
'che difficile scegliere la copertina della tesina ',negative
' tanto la possibilit di fargliele di persona sfumata per la mia bimba ',negative
'si dale ',negative
'opo smartphone ',negative
' shi povero oppa ',negative
'bar dfd ec e ada ade',negative
'che poi io anni fa ho avuto i capelli viola ma tipo per tre giorni perch al primo lavaggio sono tornati rossi ',negative
'la me travel docs hahahaha ',negative
'una kana labrador si girata a fissarmi allora le ho detto ciao con la vocetta e il padrone cattivo l ha tirata via ',negative
'se riesco a prendere la macchina vengo al volo ',negative
'la ma fi ',negative
'solo mi gata ',negative
'me duele mi pancita ',negative
' saltati ',negative
'di na virgin si sky ',negative
'non so pi cosa guardare mi annoia tutto ',negative
'dai bello ',negative
'avi ure so cute ',negative
'mikko o pison pota i cant ',negative
'aaaa che patatino ',negative
'none ',negative
'oddio grazie fur e anon per la domanda anche a me n eh cio la canzone ci sta la cosa in generale ci ',negative
'misfits era bello cos anche finito a quel modo basta reboot ',negative
' ditto ',negative
'versace mahal masa di taro di lantai ',negative
'nou non fai schifo e scommetto che non vero tu faccia schifo a disegnare',negative
'ocupo una botella de agua chiva ',negative
' si erin ji hahahahaahahaha',negative
'fds shippo tanto o caleb e a hannah ',negative
'mano ',negative
'il contenuto non pu essere riprodotto ',negative
'scusa ',negative
'asco valeeeee aborta',negative
' infatti ',negative
'ma la cosa dei bangtan la sapevo su schiele che cade la mia ignoranza ovviamente definisci t ',negative
'che peccato ',negative
' non colpa mia se sono geloso di un semino',negative
'se non cominci con le cose orrende su carta non riuscirai mai a fare cose migliori l esercisio porta al miglioramento',negative
'puoi smettere di fingere ',negative
'la nostra bambina o ',negative
'callate vale ',negative
' lui comunque ',negative
'nessuno mi vuole bene ',negative
'pure io le cerco le mie ed ogni giorno sta caccia al tesoro diventa pi difficile ',negative
' ghjjzkzk no ',negative
'domani sera con il corpo al magazzino sul po e con i sentimenti altrove perch siamo troppo emotivi emozioni ',negative
'ma la mia paura che magari nessuno la legge o che la prendono in carico ',negative
' costa rica bauti carolina wachiun wachiun plaza fresco tus abrazos',negative
'im crying la prof stata dolcissima ',negative
'ah nooo perdi ',negative
' sorna ',negative
'vi ricordate quando dicevo che gli account di twitter con l uovo nell icon mi inquietavano ecco adesso mi mancano ',negative
'ma se muoio tu poi come fai a farti i cazzi miei ',negative
'anna se ha ido ',negative
'noooooo volevo vederlo ',negative
'manco per le piste leggendarie come p c n si trovano auto ',negative
'perch non ti piace gerarda anche io ti amo cuoreee',negative
'hahahhhahahaahhaahahhaahhhhhahhaahhaah i miss talking to you directly ',negative
'purtroppo l ho trovato proprio evidente non ne capisco il motivo una volta disse che vi ricorre ',negative
'sono disperatonon mi pae piu il macho paura ',negative
'eh si sono belle costose ',negative
'non lo farei mai ',negative
' unanime ',negative
'miane miane hajima ',negative
'scusa se ti consola sono nella stessa situazione',negative
'sponti ahhahahahah',negative
'puntuale come ogni estate la triste piaga dei bambini dimenticati in auto ',negative
'domenica prossima ci sono gli idays ',negative
'hahahaha que tiempos ',negative
'prefersico non averlo saputo ',negative
'ti mordo anche ',negative
'anch io voglio la versione fisica del disco di harryse la nonna mi da i soldi della promozione dai su speriamo ',negative
'ma io la so ma non vivr cient ann perch mi fanno arrabbiare capit ',negative
'fatemela qualche domanda suuuu ',negative
'the ultimate dilemma ',negative
'solo uno ',negative
' sto lavorando ',negative
'ma io sono il primo a volere la sua felicit ',negative
'non riesco a capire cosa sia successo a nole non ha piu voglia piu stimoli cosa c ha si pu sapere',negative
'no more ruf ',negative
'mi piaciuto un video di gli angeli non mi vogliono in paradiso minecraft ita dyes',negative
'eu sentei no meio da sala n tjnha como ajsjsjjsjs',negative
'ahaksj don t be emo ',negative
'aa me duele la panza ',negative
'bar eedc e da ebce',negative
'pistocchi mi ha bloccato e non posso seguire bene ',negative
'povera mammina ',negative
'allora chiedo scusa ',negative
'ecco altro che tutte le cattiverie che la gente diceva su di loro ieri sono contenta aaah mi mancher tutto ',negative
' perch il mio cuore non abituato e dall emozione ha fatto crack ',negative
'l albero enorme in giardino alle scuole elementari da salirci alla ricreazione credo che sia da allora ',negative
'simo ma anch io tifo juve ',negative
'sorna ',negative
' perch il cuoricino spezzato ',negative
'to indi ',negative
'sanca unnie ',negative
'mi dispiace ',negative
'anche clara fa l universit a torino purtroppo no magariiiii ',negative
'gobbo finch campo non mi followa pi quotidianamente ',negative
' le ho rese felici ieri per i prossimi due mesi direi che bastato hyung ',negative
'che difficile scegliere la copertina della tesina ',negative
' tanto la possibilit di fargliele di persona sfumata per la mia bimba ',negative
'si dale ',negative
'opo smartphone ',negative
' shi povero oppa ',negative
'bar dfd ec e ada ade',negative
'che poi io anni fa ho avuto i capelli viola ma tipo per tre giorni perch al primo lavaggio sono tornati rossi ',negative
'la me travel docs hahahaha ',negative
'una kana labrador si girata a fissarmi allora le ho detto ciao con la vocetta e il padrone cattivo l ha tirata via ',negative
'se riesco a prendere la macchina vengo al volo ',negative
'la ma fi ',negative
'solo mi gata ',negative
'me duele mi pancita ',negative
' saltati ',negative
'di na virgin si sky ',negative
'non so pi cosa guardare mi annoia tutto ',negative
'dai bello ',negative
'avi ure so cute ',negative
'mikko o pison pota i cant ',negative
'aaaa che patatino ',negative
'none ',negative
'oddio grazie fur e anon per la domanda anche a me n eh cio la canzone ci sta la cosa in generale ci ',negative
'misfits era bello cos anche finito a quel modo basta reboot ',negative
' ditto ',negative
'versace mahal masa di taro di lantai ',negative
'nou non fai schifo e scommetto che non vero tu faccia schifo a disegnare',negative
'ocupo una botella de agua chiva ',negative
' si erin ji hahahahaahahaha',negative
'fds shippo tanto o caleb e a hannah ',negative
'mano ',negative
'il contenuto non pu essere riprodotto ',negative
'scusa ',negative
'asco valeeeee aborta',negative
' infatti ',negative
'ma la cosa dei bangtan la sapevo su schiele che cade la mia ignoranza ovviamente definisci t ',negative
'che peccato ',negative
' non colpa mia se sono geloso di un semino',negative
'se non cominci con le cose orrende su carta non riuscirai mai a fare cose migliori l esercisio porta al miglioramento',negative
'puoi smettere di fingere ',negative
'la nostra bambina o ',negative
'callate vale ',negative
' lui comunque ',negative
'nessuno mi vuole bene ',negative
'pure io le cerco le mie ed ogni giorno sta caccia al tesoro diventa pi difficile ',negative
' ghjjzkzk no ',negative
'domani sera con il corpo al magazzino sul po e con i sentimenti altrove perch siamo troppo emotivi emozioni ',negative
'ma la mia paura che magari nessuno la legge o che la prendono in carico ',negative
' costa rica bauti carolina wachiun wachiun plaza fresco tus abrazos',negative
'im crying la prof stata dolcissima ',negative
'ah nooo perdi ',negative
' sorna ',negative
'vi ricordate quando dicevo che gli account di twitter con l uovo nell icon mi inquietavano ecco adesso mi mancano ',negative
'ma se muoio tu poi come fai a farti i cazzi miei ',negative
'anna se ha ido ',negative
'noooooo volevo vederlo ',negative
'manco per le piste leggendarie come p c n si trovano auto ',negative
'perch non ti piace gerarda anche io ti amo cuoreee',negative
'hahahhhahahaahhaahahhaahhhhhahhaahhaah i miss talking to you directly ',negative
'purtroppo l ho trovato proprio evidente non ne capisco il motivo una volta disse che vi ricorre ',negative
'sono disperatonon mi pae piu il macho paura ',negative
'eh si sono belle costose ',negative
'non lo farei mai ',negative
' unanime ',negative
'miane miane hajima ',negative
'scusa se ti consola sono nella stessa situazione',negative
'sponti ahhahahahah',negative
